题干,题号,选项,答案,是否有图
这个标志是何含义？,q_P-ND9fIt25lY,禁止左转|此路不通|禁止通行|超高绕行,超高绕行,否
这个标志是何含义？,q_IE1jly7C1hGw,休息区|A停车场|观景台|服务区,观景台,否
这个标志是何含义？,q_heKJFmm6I-gx,横过道路设施|应急避难设施（场所）|生活服务区|行人专用通道,应急避难设施（场所）,否
这个标志是何含义？,q_mcShXMustOOC,观景台|停车场|休息区|停车位,观景台,否
这个标志是何含义？,q_HYgs-gj2_fqa,50|最高限速50公里/小时|最低限速50公里/小时|水平高度50米,最高限速50公里/小时,否
这个标志是何含义？,q_8HlSyH2awFj7,直行和左转弯行驶|直行和右转弯行驶|立体交叉直行和右转弯行驶|立体交叉直行和左转弯行驶,立体交叉直行和右转弯行驶,否
这个标志是何含义？,q_9JTaAvAsUeUv,海关|DOUANE|国界|边防,海关,否
这个标志是何含义？,q_nKIiy6GomZ4M,云居寺|旅游区类别|旅游区距离|旅游区方向,旅游区距离,否
这个标志是何含义？,q_Ub9qmDYtqO4G,专用停车场|露天停车场|室内停车场|内部停车场,室内停车场,否
这个标志是何含义？,q_rH425pj36Drx,2km南直路|15km八一路|25kmG101|地点距离,2km南直路,否
这个标志是何含义？,q_5-gbhoQPBEhm,国道编号|省道编号|县道编号|乡道编号,乡道编号,否
这个标志是何含义？,q_mgBOUX2EmqW_,X008|国道编号|省道编号|县道编号,省道编号,否
这个标志是何含义？,q_DeDYr_rkb7N8,科技公园|G108G1095209|环形交叉路口预告|十字交叉路口预告,科技公园,否
这个标志是何含义？,q_aHgYhk3pTyqD,王平|新屿|环型交叉路口告知|十字交叉路口告知,十字交叉路口告知,否
这个标志是何含义？,q_tGcjL3GK3oAF,文慧路徐庄路|AY形交叉路口预告|十字交叉路口预告|丁字交叉路口预告,十字交叉路口预告,否
这个标志是何含义？,q_0914cojNjAWS,北G2|东北路南京路|地点和距离预告|十字交叉路口预告,东北路南京路,否
这个标志是何含义？,q_1CXhPUJy83Ev,事故|注意危险|事故易发路段|施工路段,施工路段,否
这个标志是何含义？,q_qwgwAGOrjyy5,正确|错误,错误,否
这个标志是何含义？,q_eLp9g908DK3-,校车|禁止校车通行|禁止校车停车|校车专用停车位、校车停靠站点,禁止校车停车,否
这个标志是何含义？,q_8-Jb4k5QBO1f,注意行人|人行横道|注意儿童|学校区域,人行横道,否
这个标志是何含义？,q_2jeUqX1GNUFz,只准直行|车道数增加|硬路肩充许行驶起点|分流处,硬路肩充许行驶起点,否
这个标志是何含义？,q_9uscEHNgZ1b6,让|不准让行|会车让行|停车让行,停车让行,否
这个标志是何含义？,q_DYkaX6_Kcczk,停|不准车辆驶入|不准长时间停车|停车让行,不准长时间停车,否
这个标志是何含义？,q_Ax_nQDb3_G3B,A人行横道|注意行人|注意儿童|学校区域,注意行人,否
这个标志是何含义？,q_L7IkWBS6fWz2,A窄路|右侧变窄|左侧变窄|窄桥,窄桥,否
这个标志是何含义？,q_IvFLa8l0Zmza,提醒车辆驾驶人前方有两个及以A上的连续上坡路段|提醒车辆驾驶人前方有向上的陡B坡路段|提醒车辆驾驶人前方有向下的陡坡路段|提醒车辆驾驶人前方有两个及以上的连续下坡路段,提醒车辆驾驶人前方有两个及以上的连续下坡路段,否
这个标志是何含义？,q_-VCTxSw9IErz,提醒车辆驾驶人前方道路沿水A库、湖泊、河流|提醒车辆驾驶人前方有向上的陡B坡路段|提醒车辆驾驶人前方有向下的陡坡路段|提醒车辆驾驶人前方有两个及以上的连续上坡路段,提醒车辆驾驶人前方有向下的陡坡路段,否
这个标志是何含义？,q_bbgfP_a2_RJE,AY形交叉口|主路让行|注意分流|注意合流,注意合流,否
这个标志是何含义？,q_zva6b9FGLctQ,30km/h|建议速度|最低速度|最高速度,30km/h,否
这个标志是何含义？,q_TXy0qiCy3-sW,慢|施工路段|车多路段|慢行,车多路段,否
这个标志是何含义？,q_Jpe-FSmbte5E,距无人看守铁路道口50米|距有人看守铁路道口50米|距无人看守铁路道口100米|距有人看守铁路道口100米,距无人看守铁路道口100米,否
这个标志是何含义？,q_Wpj8spyZB4Lb,T形交叉路口|Y形交叉路口|十字交叉路口|环形交叉路口,十字交叉路口,是
这个标志是何含义？,q_b2HbAohNHXCK,堤坝路|上陡坡|连续上坡|下陡坡,上陡坡,否
这个标志是何含义？,q_ZvHXf4g6kABK,左侧通行|不准通行|两侧通行|右侧通行,两侧通行,否
这个标志是何含义？,q_6s9sub7bmK1v,残疾人出入口|注意残疾人|残疾人专用通道|残疾人专用停车位,残疾人专用停车位,否
这个标志是何含义？,q_bjjnGZBp098K,边防检查|禁止通行|海关检查|停车检查,停车检查,否
这个标志是何含义？,q_t9X1nO00sBG2,40米减速行驶路段|最低时速40公里|解除时速40公里限制|最高时速40公里,解除时速40公里限制,否
这个标志是何含义？,q_IafS8ur_OaBD,限制40吨轴重|限制最高时速40公里|前方40米减速|最低时速40公里,限制最高时速40公里,否
这个标志是何含义？,q_Qdp9eGFmTPA0,限制高度为3.5米|限制宽度为3.5米|解除3.5米限高|限制车距为3.5米,限制高度为3.5米,否
这个标志是何含义？,q_qs8a-7jx8Zif,解除3米限宽|限制高度为3米|预告宽度为3米|限制宽度为3米,限制宽度为3米,否
这个标志是何含义？,q_g5IQT2xsn-K5,禁止长时鸣喇叭|断续鸣喇叭|禁止鸣喇叭|减速鸣喇叭,禁止鸣喇叭,否
这个标志是何含义？,q_C0WunlRm_pyL,解除禁止借道|解除禁止变道|准许变道行驶|解除禁止超车,解除禁止超车,否
这个标志是何含义？,q_px-y89wbpw84,禁止借道|禁止变道|禁止超车|禁止掉头,禁止超车,否
这个标志是何含义？,q_32mpewggwN6O,禁止直行|禁止掉头|禁止变道|禁止左转,禁止掉头,否
这个标志是何含义？,q_T1Sr0--96t9h,禁止直行和向左变道|允许直行和向右变道|允许直行和向左变道|禁止直行和向右转弯,禁止直行和向右转弯,否
这个标志是何含义？,q_vCM2if3HmBCP,禁止直行和向左转弯|禁止直行和向左变道|允许直行和向左变道|禁止直行和向右转弯,禁止直行和向左转弯,否
这个标志是何含义？,q_VUuinr3Gh9du,禁止在路口掉头|禁止向左向右变道|禁止车辆直行|禁止向左向右转弯,禁止向左向右转弯,否
这个标志是何含义？,q_uT0vTwP5uIWt,禁止掉头|禁止向右转弯|禁止直行|禁止向左转弯,禁止直行,否
这个标志是何含义？,q_BkPhJN1kQbHM,禁止驶入路口|禁止向右转弯|禁止车辆掉头|禁止变更车道,禁止向右转弯,否
这个标志是何含义？,q_HCfjYowE8avn,禁止向左转弯|禁止驶入左车道|禁止车辆掉头|禁止向左变道,禁止向左转弯,否
这个标志是何含义？,q_lx_s8N1g3B8k,禁止驶入|禁止通行|减速行驶|限时进入,禁止通行,否
这个标志是何含义？,q_nNlet4xmOQEb,会车时停车让对方车先行|前方是双向通行路段|右侧道路禁止车通行|会车时停车让右侧车先行,会车时停车让对方车先行,否
这个标志是何含义？,q_w6kC2TKjQU5D,公交专用车道|有轨电车专用车道|靠右侧车道行驶|HOV专用车道,靠右侧车道行驶,否
这个标志是何含义？,q_fPMQb8HTUGo_,注意行人|仅供行人步行|低速行驶|行人先行,仅供行人步行,否
这个标志是何含义？,q_pxCOiCOUITvR,掉头|倒车|左转|绕行,掉头,否
这个标志是何含义？,q_7BTx0rvuoD-G,小型汽车专用车道|机动车专用车道|多乘员车辆专用车道|出租汽车专用车道,多乘员车辆专用车道,否
这个标志是何含义？,q_QampiypqDLo1,公交车专用车道|快速公交系统（BRT）车辆专用车道|大型客车专用车道|多乘员车专用车道,快速公交系统（BRT）车辆专用车道,否
这个标志是何含义？,q_RdJuXklEenVM,非机动车车道|禁止自行车通行车道|自行车专用车道|停放自行车路段,非机动车车道,否
这个标志是何含义？,q__OeF47yZoWg0,非机动车停车位|电动自行车行驶|非机动车停放区|非机动车行驶,非机动车行驶,否
这个标志是何含义？,q_L7Qa42TnVY0M,小型车车道|小型车专用车道|机动车车道|多乘员车辆专用车道,机动车车道,否
这个标志是何含义？,q_t100R5qF5ZmY,禁止小型车行驶|机动车行驶|只准小型车行驶|不准小型车通行,机动车行驶,否
这个标志是何含义？,q_i9Qq3u0tzfRw,公交专用车道|大型客车专用车道|快速公交系统专用车道|多乘员车辆专用车道,公交专用车道,否
这个标志是何含义？,q_JUY0b3jBdqZk,直线行驶车道|左转行驶车道|右转行驶车道|分向行驶车道,分向行驶车道,否
这个标志是何含义？,q_-w6FKvNysx5V,直行和左转合用车道|禁止左转和掉头车道|掉头和左转合用车道|分向行驶车道,掉头和左转合用车道,否
这个标志是何含义？,q_OdNg4x-DyNLQ,左转车道|掉头车道|绕行车道|分向车道,掉头车道,否
这个标志是何含义？,q_lyyvOmrgdj5j,直行和左转合用车道|直行和掉头合用车道|直行和右转车道|分向行驶车道,直行和左转合用车道,否
这个标志是何含义？,q_L9Qiex7SxBYZ,直行和左转车道|直行和辅路出口车道|直行和右转合用车道|分向行驶车道,直行和右转合用车道,否
这个标志是何含义？,q_GV71KIg2-AFC,直行车道|右转车道|掉头车道|左转车道,直行车道,否
这个标志是何含义？,q_Zp_0oAAd9P2V,分向车道|右转车道|掉头车道|左转车道,右转车道,否
这个标志是何含义？,q_XlTZavzHWGs9,分隔带左侧行驶|只准向左转弯|左侧是下坡路段|靠道路左侧停车,分隔带左侧行驶,否
这个标志是何含义？,q_rEZQlJjEyYfh,靠道路右侧停车|只准向右转弯|右侧是下坡路段|分隔带右侧行驶,分隔带右侧行驶,否
这个标志是何含义？,q_ITvUalshOLZZ,直行和向右转弯|直行和向左转弯|禁止直行和向左转弯|只准向右和向左转弯,直行和向左转弯,否
这个标志是何含义？,q_Tet7vt9LnDEE,禁止向右转弯|禁止向左转弯|向左和向右转弯|禁止向左右转弯,向左和向右转弯,否
这个标志是何含义？,q_0tHFajySqmBR,直行车道|只准直行|单行路|向右转弯,向右转弯,否
这个标志是何含义？,q_f6dlij5wZe5n,直行和向右转弯|直行和向左转弯|禁止直行和向右转弯|只准向左和向右转弯,直行和向右转弯,否
这个标志是何含义？,q_YSo2J3c4l6Zg,直行车道|单行路|向左转弯|禁止直行,向左转弯,否
这个标志是何含义？,q_C2OG6cF8R-Qp,直行车道|只准直行|单行路|禁止直行,只准直行,否
这个标志是何含义？,q_6MEppWqkj3mH,高速公路ETC车道指引|高速公路领卡车道指引|高速公路缴费车道指引|高速公路检查车道指引,高速公路ETC车道指引,否
这个标志是何含义？,q_ih3iA7ua48O_,服务站|停车点|停车场|应急避难场所,停车点,否
这个标志是何含义？,q_2f8g8-3pkg_J,电动车充电站|加油站|地铁|急救站,地铁,否
这个标志是何含义？,q_oEt5w1dVc_Uv,高速公路收费处|ETC收费站入口|电子不停车收费车道|高速公路领卡处,电子不停车收费车道,否
这个标志是何含义？,q_CiXuuXohqZSV,高速公路加油站|电动汽车服务区|电动汽车充电站|高速公路休息区,电动汽车充电站,否
这个标志是何含义？,q_4KwCrh9Yur4I,服务区|加油站|休息区|客车站,加油站,否
这个标志是何含义？,q_r-LgW8r646Ah,高速公路紧急停车带|高速公路避让处所|高速公路停车区|高速公路客车站,高速公路紧急停车带,否
这个标志是何含义？,q_x42DfPHN2kZm,高速公路公用电话|高速公路报警电话|高速公路紧急电话|高速公路救援电话,高速公路紧急电话,否
这个标志是何含义？,q_JkL_cGjSgwD0,高速公路领卡处|高速公路收费处|高速公路检查站|设有ETC的收费站,设有ETC的收费站,否
这个标志是何含义？,q_ZsRtzoC_RNK8,高速公路报警电话号码|高速公路交通广播频率|高速公路救援电话号码|高速公路服务电话号码,高速公路交通广播频率,否
这个标志是何含义？,q_kne10Q-UYbMG,高速公路起点|高速公路出口|高速公路入口|高速公路终点,高速公路起点,否
这个标志是何含义？,q_ksju-Sgpbi2w,高速公路界牌编号|高速公路里程编号|高速公路命名编号|高速公路路段编号,高速公路命名编号,否
这个标志是何含义？,q_8kN5_vfhWpwp,高速公路终点地名预告|高速公路行驶路线预告|高速公路行驶方向预告|高速公路地点距离预告,高速公路地点距离预告,否
这个标志是何含义？,q_rQBwDb00Z0RP,高速公路右侧出口预告|高速公路下一出口预告|高速公路地点、方向预告|高速公路左侧出口预告,高速公路地点、方向预告,否
这个标志是何含义？,q_JrcZfqZW2wow,高速公路终点预告|高速公路入口预告|高速公路起点预告|高速公路出口预告,高速公路入口预告,否
这个标志是何含义？,q_nMMNeN4vtJuK,隧道出口距离|隧道入口距离|隧道跟车距离|隧道总长度,隧道出口距离,否
这个标志是何含义？,q_caxN0kjUeM2G,减速拍照区|道路流量监测|全路段抓拍|交通监控设备,交通监控设备,否
这个标志是何含义？,q_m0QhqGup50W0,向右变道|分流处|车道数增加|路面变宽,车道数增加,否
这个标志是何含义？,q_vVQJuLqrAa73,向左变道|车道数变少|合流处|应急车道,车道数变少,否
这个标志是何含义？,q_OV0nVyBpSWrv,此路不通|T形路口|分流路口|减速通行,此路不通,否
这个标志是何含义？,q_59jSu3l4Dxqs,横过道路设施|应急避难设施（场所|生活服务区|行人专用通道,应急避难设施（场所,否
这个标志是何含义？,q_PBDbZkEN6NC5,紧急停车带|露天停车场|停车位|错车道,错车道,否
这个标志是何含义？,q_T4voOqwZKO3e,对向先行|停车让行|单行路|会车先行,会车先行,否
这个标志是何含义？,q_9UkCfZCL111Y,单行路|停车让行|干路先行|两侧街道,干路先行,否
这个标志是何含义？,q_u4EYDQa6qS3-,最高限速50公里/小时|最低限速50公里/小时|水平高度50米|海拔高度50米,最低限速50公里/小时,否
这个标志是何含义？,q_G_OPVbypfGSP,人行横道|学生通道|儿童通道|注意行人,人行横道,否
这个标志是何含义？,q_N3yEJl1nHxWl,应当鸣喇叭|禁止鸣喇叭|禁止鸣高音喇叭|禁止鸣低音喇叭,应当鸣喇叭,否
这个标志是何含义？,q_gemivW9PQaLJ,低速行驶|注意行人|行人先行|步行,步行,否
这个标志是何含义？,q_dstwEUD65sAM,靠右侧行驶|不允许直行|直行单行路|直行车让行,直行单行路,否
这个标志是何含义？,q_niBDb0f-5drE,向左单行路|向右单行路|直行单行路|右转让行,向右单行路,否
这个标志是何含义？,q_B_GsqKqf6jsq,向左单行路|向右单行路|直行单行路|左转让行,向左单行路,否
这个标志是何含义？,q_xkd_6510vpbd,右侧通行|左侧通行|向右行驶|环岛行驶,环岛行驶,否
这个标志是何含义？,q_YBB6R2ZmLGZI,立体交叉直行和右转弯行驶|立体交叉直行和左转弯行驶|直行和左转弯行驶|直行和右转弯行驶,立体交叉直行和左转弯行驶,否
这个标志是何含义？,q_QIuxmo072a9U,地点距离|行驶路线|行驶方向|终点地名,地点距离,否
这个标志是何含义？,q_WTf0_af6stpG,室内停车场|露天停车场|专用停车场|内部停车场,露天停车场,否
这个标志是何含义？,q_60bQBOdtPFfg,国道编号|省道编号|县道编号|乡道编号,国道编号,否
这个标志是何含义？,q_ItZzya9eCUH3,十字交叉路口告知|互通式立体交叉告知|Y形交叉路口告知|环形交叉路口告知,互通式立体交叉告知,否
这个标志是何含义？,q_vWGlLwOkq4A2,环形交叉路口预告|十字交叉路口预告|互通立体交叉预告|Y形交叉路口预告,环形交叉路口预告,否
这个标志是何含义？,q_HaB5jOxgpj6K,环型交叉路口告知|十字交叉路口告知|丁字交叉路口告知|Y型交叉路口告知,Y型交叉路口告知,否
这个标志是何含义？,q_MzBeVioqYdcQ,Y形交叉路口预告|十字交叉路口预告|丁字交叉路口预告|道路分叉处预告,丁字交叉路口预告,否
这个标志是何含义？,q_liZ1ytn-ps0X,地点和距离预告|十字交叉路口预告|分道信息预告|道路分岔处预告,十字交叉路口预告,否
这个标志是何含义？,q_1cSKUXmEfNf9,交叉路口预告|车道方向预告|分道信息预告|分岔处预告,交叉路口预告,否
这个标志是何含义？,q_o28F-0piPwP8,急弯路|交叉路口|反向弯路|连续弯路,交叉路口,否
这个标志是何含义？,q_FI2vsnnBkjsm,电动自行车车道|注意非机动车|注意电动自行车|禁止非机动车通行,注意电动自行车,否
这个标志是何含义？,q_lbYm0oG_x0eY,转弯诱导标志|线形诱导标志|分流诱导标志|合流诱导标志,线形诱导标志,否
这个标志是何含义？,q_qgyD_pg_SSnY,应急车道|注意车道数变少|合流处|向左变道,注意车道数变少,否
这个标志是何含义？,q_o6QRyMh5-9Sa,量路尺|注意积水|交通事故勘察尺|注意前方限高,注意积水,否
这个标志是何含义？,q_aAmAk6p94r7c,注意危险|事故易发路段|施工路段|交通事故管理,交通事故管理,否
这个标志是何含义？,q_ZXPKSXIyDNmM,无障碍设施|注意残疾人|停车场|残疾人专用车位,残疾人专用车位,否
这个标志是何含义？,q_J75ivsexnReh,避让处所|客车站|停车区|港湾式紧急停车带,港湾式紧急停车带,否
这个标志是何含义？,q_rClxZnVRPn2M,出租车专用停车位|公交车专用停车位|校车专用停车位|充电停车位,公交车专用停车位,否
这个标志是何含义？,q_MMiV16NDqo9d,禁止校车通行|禁止校车停车|校车专用停车位、校车停靠站点|只允许校车通行,校车专用停车位、校车停靠站点,否
这个标志是何含义？,q_8jc0Ygji4LuW,允许货车通行|允许客车通行|禁止货车通行|绿色通道,允许货车通行,否
这个标志是何含义？,q_7i7R6k1Z8k6Y,只准直行|车道数增加|硬路肩允许行驶起点|分流处,硬路肩允许行驶起点,否
这个标志是何含义？,q_0DdT9U7hHSt2,非机动车推行|非机动车骑行|非机动车与行人共享空间通行|非机动车与行人分开空间通行,非机动车推行,否
这个标志是何含义？,q_plonKfWoMhXZ,非机动车车道|电动自行车车道|非机动车行驶|电动自行车行驶,电动自行车车道,否
这个标志是何含义？,q_gZHTLeGbAx3t,公交车专用车道|BRT车辆专用车道|有轨电车专用车道|大型客车专用车道,有轨电车专用车道,否
这个标志是何含义？,q_0HAnuouVRWm-,隧道开示宽灯|开车灯|隧道减速|隧道开远光灯,开车灯,否
这个标志是何含义？,q_LXPftBLV3PdQ,注意避让火车|有人看守铁路道口|无人看守铁路道口|多股铁路与道路相交,多股铁路与道路相交,否
这个标志是何含义？,q__0KWXM5uK8mx,不准让行|会车让行|停车让行|减速让行,减速让行,否
这个标志是何含义？,q_Jh0ujCSTT94b,不准车辆驶入|不准长时间停车|停车让行|不准临时停车,停车让行,否
这个标志是何含义？,q_UKtUJs1YiSR1,允许长时停车|禁止临时停车|禁止车辆长时停放|禁止停放车辆,禁止车辆长时停放,否
这个标志是何含义？,q_L_LtN8fw3oio,允许长时停车|允许临时停车|禁止长时停车|禁止车辆停放,禁止车辆停放,否
这个标志是何含义？,q_qvijpogDWNPu,海关|国界|边防|边界,海关,否
这个标志是何含义？,q_gB-xrMqimlof,路面低洼|驼峰桥|路面不平|路面高突,路面不平,否
这个标志是何含义？,q_SojxCveLr69G,不平路面|驼峰桥|路面高突|路面低洼,驼峰桥,否
这个标志是何含义？,q_E-1sYHpOteo8,过水路面|漫水桥|渡口|船用码头,渡口,否
这个标志是何含义？,q_1Kp96wWnfDld,涵洞|水渠|桥梁|隧道,隧道,否
这个标志是何含义？,q_2UBIsOAIpRu0,注意行人|有人行横道|村庄或集镇|有小学校,村庄或集镇,否
这个标志是何含义？,q_WvcGhahk5kkE,堤坝路|临崖路|易滑路|傍水路,堤坝路,否
这个标志是何含义？,q_RqiCta9fjzPA,急转弯路|易滑路段|试车路段|曲线路段,易滑路段,否
这个标志是何含义？,q_yglrygdjTnR1,注意横风|风向标|隧道入口|气象台,注意横风,否
这个标志是何含义？,q_yLJKW1sV7rAs,傍山险路|悬崖路段|注意落石|危险路段,注意落石,否
