序号,题干,选项,来源,同一题干条数,记录ID,图片(待填路径),备注
81,这个标志是何含义？,提醒车辆驾驶人前方有两个及以A上的连续上坡路段 | 提醒车辆驾驶人前方有向上的陡B坡路段 | 提醒车辆驾驶人前方有向下的陡坡路段 | 提醒车辆驾驶人前方有两个及以上的连续下坡路段,题库缺图,236,q_IvFLa8l0Zmza,,
82,这个标志是何含义？,提醒车辆驾驶人前方道路沿水A库、湖泊、河流 | 提醒车辆驾驶人前方有向上的陡B坡路段 | 提醒车辆驾驶人前方有向下的陡坡路段 | 提醒车辆驾驶人前方有两个及以上的连续上坡路段,题库缺图,236,q_-VCTxSw9IErz,,
83,这个标志是何含义？,AY形交叉口 | 主路让行 | 注意分流 | 注意合流,题库缺图,236,q_bbgfP_a2_RJE,,
84,这个标志是何含义？,30km/h | 建议速度 | 最低速度 | 最高速度,题库缺图,236,q_zva6b9FGLctQ,,
85,这个标志是何含义？,慢 | 施工路段 | 车多路段 | 慢行,题库缺图,236,q_TXy0qiCy3-sW,,
86,这个标志是何含义？,距无人看守铁路道口50米 | 距有人看守铁路道口50米 | 距无人看守铁路道口100米 | 距有人看守铁路道口100米,题库缺图,236,q_Xtoe_W-0CMBP,,
87,这个标志是何含义？,堤坝路 | 上陡坡 | 连续上坡 | 下陡坡,题库缺图,236,q_b2HbAohNHXCK,,
88,这个标志是何含义？,左侧通行 | 不准通行 | 两侧通行 | 右侧通行,题库缺图,236,q_ZvHXf4g6kABK,,
89,这个标志是何含义？,残疾人出入口 | 注意残疾人 | 残疾人专用通道 | 残疾人专用停车位,题库缺图,236,q_6s9sub7bmK1v,,
90,这个标志是何含义？,边防检查 | 禁止通行 | 海关检查 | 停车检查,题库缺图,236,q_bjjnGZBp098K,,
91,这个标志是何含义？,40米减速行驶路段 | 最低时速40公里 | 解除时速40公里限制 | 最高时速40公里,题库缺图,236,q_t9X1nO00sBG2,,
92,这个标志是何含义？,限制40吨轴重 | 限制最高时速40公里 | 前方40米减速 | 最低时速40公里,题库缺图,236,q_IafS8ur_OaBD,,
93,这个标志是何含义？,限制高度为3.5米 | 限制宽度为3.5米 | 解除3.5米限高 | 限制车距为3.5米,题库缺图,236,q_Qdp9eGFmTPA0,,
94,这个标志是何含义？,解除3米限宽 | 限制高度为3米 | 预告宽度为3米 | 限制宽度为3米,题库缺图,236,q_qs8a-7jx8Zif,,
95,这个标志是何含义？,禁止长时鸣喇叭 | 断续鸣喇叭 | 禁止鸣喇叭 | 减速鸣喇叭,题库缺图,236,q_g5IQT2xsn-K5,,
96,这个标志是何含义？,解除禁止借道 | 解除禁止变道 | 准许变道行驶 | 解除禁止超车,题库缺图,236,q_C0WunlRm_pyL,,
97,这个标志是何含义？,禁止借道 | 禁止变道 | 禁止超车 | 禁止掉头,题库缺图,236,q_px-y89wbpw84,,
98,这个标志是何含义？,禁止直行 | 禁止掉头 | 禁止变道 | 禁止左转,题库缺图,236,q_32mpewggwN6O,,
99,这个标志是何含义？,禁止直行和向左变道 | 允许直行和向右变道 | 允许直行和向左变道 | 禁止直行和向右转弯,题库缺图,236,q_T1Sr0--96t9h,,
100,这个标志是何含义？,禁止直行和向左转弯 | 禁止直行和向左变道 | 允许直行和向左变道 | 禁止直行和向右转弯,题库缺图,236,q_vCM2if3HmBCP,,
101,这个标志是何含义？,禁止在路口掉头 | 禁止向左向右变道 | 禁止车辆直行 | 禁止向左向右转弯,题库缺图,236,q_VUuinr3Gh9du,,
102,这个标志是何含义？,禁止掉头 | 禁止向右转弯 | 禁止直行 | 禁止向左转弯,题库缺图,236,q_uT0vTwP5uIWt,,
103,这个标志是何含义？,禁止驶入路口 | 禁止向右转弯 | 禁止车辆掉头 | 禁止变更车道,题库缺图,236,q_BkPhJN1kQbHM,,
104,这个标志是何含义？,禁止向左转弯 | 禁止驶入左车道 | 禁止车辆掉头 | 禁止向左变道,题库缺图,236,q_HCfjYowE8avn,,
105,这个标志是何含义？,禁止驶入 | 禁止通行 | 减速行驶 | 限时进入,题库缺图,236,q_lx_s8N1g3B8k,,
106,这个标志是何含义？,会车时停车让对方车先行 | 前方是双向通行路段 | 右侧道路禁止车通行 | 会车时停车让右侧车先行,题库缺图,236,q_nNlet4xmOQEb,,
107,这个标志是何含义？,公交专用车道 | 有轨电车专用车道 | 靠右侧车道行驶 | HOV专用车道,题库缺图,236,q_w6kC2TKjQU5D,,
108,这个标志是何含义？,注意行人 | 仅供行人步行 | 低速行驶 | 行人先行,题库缺图,236,q_fPMQb8HTUGo_,,
109,这个标志是何含义？,掉头 | 倒车 | 左转 | 绕行,题库缺图,236,q_pxCOiCOUITvR,,
110,这个标志是何含义？,小型汽车专用车道 | 机动车专用车道 | 多乘员车辆专用车道 | 出租汽车专用车道,题库缺图,236,q_7BTx0rvuoD-G,,
111,这个标志是何含义？,公交车专用车道 | 快速公交系统（BRT）车辆专用车道 | 大型客车专用车道 | 多乘员车专用车道,题库缺图,236,q_QampiypqDLo1,,
112,这个标志是何含义？,非机动车车道 | 禁止自行车通行车道 | 自行车专用车道 | 停放自行车路段,题库缺图,236,q_RdJuXklEenVM,,
113,这个标志是何含义？,非机动车停车位 | 电动自行车行驶 | 非机动车停放区 | 非机动车行驶,题库缺图,236,q__OeF47yZoWg0,,
114,这个标志是何含义？,小型车车道 | 小型车专用车道 | 机动车车道 | 多乘员车辆专用车道,题库缺图,236,q_L7Qa42TnVY0M,,
115,这个标志是何含义？,禁止小型车行驶 | 机动车行驶 | 只准小型车行驶 | 不准小型车通行,题库缺图,236,q_t100R5qF5ZmY,,
116,这个标志是何含义？,公交专用车道 | 大型客车专用车道 | 快速公交系统专用车道 | 多乘员车辆专用车道,题库缺图,236,q_i9Qq3u0tzfRw,,
117,这个标志是何含义？,直线行驶车道 | 左转行驶车道 | 右转行驶车道 | 分向行驶车道,题库缺图,236,q_JUY0b3jBdqZk,,
118,这个标志是何含义？,直行和左转合用车道 | 禁止左转和掉头车道 | 掉头和左转合用车道 | 分向行驶车道,题库缺图,236,q_-w6FKvNysx5V,,
119,这个标志是何含义？,左转车道 | 掉头车道 | 绕行车道 | 分向车道,题库缺图,236,q_OdNg4x-DyNLQ,,
120,这个标志是何含义？,直行和左转合用车道 | 直行和掉头合用车道 | 直行和右转车道 | 分向行驶车道,题库缺图,236,q_lyyvOmrgdj5j,,
121,这个标志是何含义？,直行和左转车道 | 直行和辅路出口车道 | 直行和右转合用车道 | 分向行驶车道,题库缺图,236,q_L9Qiex7SxBYZ,,
122,这个标志是何含义？,直行车道 | 右转车道 | 掉头车道 | 左转车道,题库缺图,236,q_GV71KIg2-AFC,,
123,这个标志是何含义？,分隔带左侧行驶 | 只准向左转弯 | 左侧是下坡路段 | 靠道路左侧停车,题库缺图,236,q_XlTZavzHWGs9,,
124,这个标志是何含义？,靠道路右侧停车 | 只准向右转弯 | 右侧是下坡路段 | 分隔带右侧行驶,题库缺图,236,q_rEZQlJjEyYfh,,
125,这个标志是何含义？,直行和向右转弯 | 直行和向左转弯 | 禁止直行和向左转弯 | 只准向右和向左转弯,题库缺图,236,q_ITvUalshOLZZ,,
126,这个标志是何含义？,禁止向右转弯 | 禁止向左转弯 | 向左和向右转弯 | 禁止向左右转弯,题库缺图,236,q_Tet7vt9LnDEE,,
127,这个标志是何含义？,直行车道 | 只准直行 | 单行路 | 向右转弯,题库缺图,236,q_0tHFajySqmBR,,
128,这个标志是何含义？,直行和向右转弯 | 直行和向左转弯 | 禁止直行和向右转弯 | 只准向左和向右转弯,题库缺图,236,q_f6dlij5wZe5n,,
129,这个标志是何含义？,直行车道 | 单行路 | 向左转弯 | 禁止直行,题库缺图,236,q_YSo2J3c4l6Zg,,
130,这个标志是何含义？,直行车道 | 只准直行 | 单行路 | 禁止直行,题库缺图,236,q_C2OG6cF8R-Qp,,
131,这个标志是何含义？,高速公路ETC车道指引 | 高速公路领卡车道指引 | 高速公路缴费车道指引 | 高速公路检查车道指引,题库缺图,236,q_6MEppWqkj3mH,,
132,这个标志是何含义？,服务站 | 停车点 | 停车场 | 应急避难场所,题库缺图,236,q_ih3iA7ua48O_,,
133,这个标志是何含义？,电动车充电站 | 加油站 | 地铁 | 急救站,题库缺图,236,q_2f8g8-3pkg_J,,
134,这个标志是何含义？,高速公路收费处 | ETC收费站入口 | 电子不停车收费车道 | 高速公路领卡处,题库缺图,236,q_oEt5w1dVc_Uv,,
135,这个标志是何含义？,高速公路加油站 | 电动汽车服务区 | 电动汽车充电站 | 高速公路休息区,题库缺图,236,q_CiXuuXohqZSV,,
136,这个标志是何含义？,服务区 | 加油站 | 休息区 | 客车站,题库缺图,236,q_4KwCrh9Yur4I,,
137,这个标志是何含义？,高速公路紧急停车带 | 高速公路避让处所 | 高速公路停车区 | 高速公路客车站,题库缺图,236,q_r-LgW8r646Ah,,
138,这个标志是何含义？,高速公路公用电话 | 高速公路报警电话 | 高速公路紧急电话 | 高速公路救援电话,题库缺图,236,q_x42DfPHN2kZm,,
139,这个标志是何含义？,高速公路领卡处 | 高速公路收费处 | 高速公路检查站 | 设有ETC的收费站,题库缺图,236,q_JkL_cGjSgwD0,,
140,这个标志是何含义？,高速公路报警电话号码 | 高速公路交通广播频率 | 高速公路救援电话号码 | 高速公路服务电话号码,题库缺图,236,q_ZsRtzoC_RNK8,,
141,这个标志是何含义？,高速公路起点 | 高速公路出口 | 高速公路入口 | 高速公路终点,题库缺图,236,q_kne10Q-UYbMG,,
142,这个标志是何含义？,高速公路界牌编号 | 高速公路里程编号 | 高速公路命名编号 | 高速公路路段编号,题库缺图,236,q_ksju-Sgpbi2w,,
143,这个标志是何含义？,高速公路终点地名预告 | 高速公路行驶路线预告 | 高速公路行驶方向预告 | 高速公路地点距离预告,题库缺图,236,q_8kN5_vfhWpwp,,
144,这个标志是何含义？,高速公路右侧出口预告 | 高速公路下一出口预告 | 高速公路地点、方向预告 | 高速公路左侧出口预告,题库缺图,236,q_rQBwDb00Z0RP,,
145,这个标志是何含义？,高速公路终点预告 | 高速公路入口预告 | 高速公路起点预告 | 高速公路出口预告,题库缺图,236,q_JrcZfqZW2wow,,
146,这个标志是何含义？,隧道出口距离 | 隧道入口距离 | 隧道跟车距离 | 隧道总长度,题库缺图,236,q_nMMNeN4vtJuK,,
147,这个标志是何含义？,减速拍照区 | 道路流量监测 | 全路段抓拍 | 交通监控设备,题库缺图,236,q_caxN0kjUeM2G,,
148,这个标志是何含义？,向右变道 | 分流处 | 车道数增加 | 路面变宽,题库缺图,236,q_m0QhqGup50W0,,
149,这个标志是何含义？,向左变道 | 车道数变少 | 合流处 | 应急车道,题库缺图,236,q_vVQJuLqrAa73,,
150,这个标志是何含义？,此路不通 | T形路口 | 分流路口 | 减速通行,题库缺图,236,q_OV0nVyBpSWrv,,
151,这个标志是何含义？,横过道路设施 | 应急避难设施（场所 | 生活服务区 | 行人专用通道,题库缺图,236,q_59jSu3l4Dxqs,,
152,这个标志是何含义？,紧急停车带 | 露天停车场 | 停车位 | 错车道,题库缺图,236,q_PBDbZkEN6NC5,,
153,这个标志是何含义？,对向先行 | 停车让行 | 单行路 | 会车先行,题库缺图,236,q_T4voOqwZKO3e,,
154,这个标志是何含义？,单行路 | 停车让行 | 干路先行 | 两侧街道,题库缺图,236,q_9UkCfZCL111Y,,
155,这个标志是何含义？,最高限速50公里/小时 | 最低限速50公里/小时 | 水平高度50米 | 海拔高度50米,题库缺图,236,q_u4EYDQa6qS3-,,
156,这个标志是何含义？,人行横道 | 学生通道 | 儿童通道 | 注意行人,题库缺图,236,q_G_OPVbypfGSP,,
157,这个标志是何含义？,应当鸣喇叭 | 禁止鸣喇叭 | 禁止鸣高音喇叭 | 禁止鸣低音喇叭,题库缺图,236,q_N3yEJl1nHxWl,,
158,这个标志是何含义？,低速行驶 | 注意行人 | 行人先行 | 步行,题库缺图,236,q_gemivW9PQaLJ,,
159,这个标志是何含义？,靠右侧行驶 | 不允许直行 | 直行单行路 | 直行车让行,题库缺图,236,q_dstwEUD65sAM,,
160,这个标志是何含义？,向左单行路 | 向右单行路 | 直行单行路 | 右转让行,题库缺图,236,q_niBDb0f-5drE,,
161,这个标志是何含义？,向左单行路 | 向右单行路 | 直行单行路 | 左转让行,题库缺图,236,q_B_GsqKqf6jsq,,
162,这个标志是何含义？,右侧通行 | 左侧通行 | 向右行驶 | 环岛行驶,题库缺图,236,q_xkd_6510vpbd,,
163,这个标志是何含义？,地点距离 | 行驶路线 | 行驶方向 | 终点地名,题库缺图,236,q_QIuxmo072a9U,,
164,这个标志是何含义？,十字交叉路口告知 | 互通式立体交叉告知 | Y形交叉路口告知 | 环形交叉路口告知,题库缺图,236,q_ItZzya9eCUH3,,
165,这个标志是何含义？,环形交叉路口预告 | 十字交叉路口预告 | 互通立体交叉预告 | Y形交叉路口预告,题库缺图,236,q_vWGlLwOkq4A2,,
166,这个标志是何含义？,环型交叉路口告知 | 十字交叉路口告知 | 丁字交叉路口告知 | Y型交叉路口告知,题库缺图,236,q_HaB5jOxgpj6K,,
167,这个标志是何含义？,Y形交叉路口预告 | 十字交叉路口预告 | 丁字交叉路口预告 | 道路分叉处预告,题库缺图,236,q_MzBeVioqYdcQ,,
168,这个标志是何含义？,地点和距离预告 | 十字交叉路口预告 | 分道信息预告 | 道路分岔处预告,题库缺图,236,q_liZ1ytn-ps0X,,
169,这个标志是何含义？,交叉路口预告 | 车道方向预告 | 分道信息预告 | 分岔处预告,题库缺图,236,q_1cSKUXmEfNf9,,
170,这个标志是何含义？,急弯路 | 交叉路口 | 反向弯路 | 连续弯路,题库缺图,236,q_o28F-0piPwP8,,
171,这个标志是何含义？,电动自行车车道 | 注意非机动车 | 注意电动自行车 | 禁止非机动车通行,题库缺图,236,q_FI2vsnnBkjsm,,
172,这个标志是何含义？,转弯诱导标志 | 线形诱导标志 | 分流诱导标志 | 合流诱导标志,题库缺图,236,q_lbYm0oG_x0eY,,
173,这个标志是何含义？,应急车道 | 注意车道数变少 | 合流处 | 向左变道,题库缺图,236,q_qgyD_pg_SSnY,,
174,这个标志是何含义？,量路尺 | 注意积水 | 交通事故勘察尺 | 注意前方限高,题库缺图,236,q_o6QRyMh5-9Sa,,
175,这个标志是何含义？,注意危险 | 事故易发路段 | 施工路段 | 交通事故管理,题库缺图,236,q_aAmAk6p94r7c,,
176,这个标志是何含义？,无障碍设施 | 注意残疾人 | 停车场 | 残疾人专用车位,题库缺图,236,q_ZXPKSXIyDNmM,,
177,这个标志是何含义？,避让处所 | 客车站 | 停车区 | 港湾式紧急停车带,题库缺图,236,q_J75ivsexnReh,,
178,这个标志是何含义？,出租车专用停车位 | 公交车专用停车位 | 校车专用停车位 | 充电停车位,题库缺图,236,q_rClxZnVRPn2M,,
179,这个标志是何含义？,禁止校车通行 | 禁止校车停车 | 校车专用停车位、校车停靠站点 | 只允许校车通行,题库缺图,236,q_MMiV16NDqo9d,,
180,这个标志是何含义？,允许货车通行 | 允许客车通行 | 禁止货车通行 | 绿色通道,题库缺图,236,q_8jc0Ygji4LuW,,
181,这个标志是何含义？,只准直行 | 车道数增加 | 硬路肩允许行驶起点 | 分流处,题库缺图,236,q_7i7R6k1Z8k6Y,,
182,这个标志是何含义？,非机动车推行 | 非机动车骑行 | 非机动车与行人共享空间通行 | 非机动车与行人分开空间通行,题库缺图,236,q_0DdT9U7hHSt2,,
183,这个标志是何含义？,公交车专用车道 | BRT车辆专用车道 | 有轨电车专用车道 | 大型客车专用车道,题库缺图,236,q_gZHTLeGbAx3t,,
184,这个标志是何含义？,隧道开示宽灯 | 开车灯 | 隧道减速 | 隧道开远光灯,题库缺图,236,q_0HAnuouVRWm-,,
