组号,组内序号,题号,题干,正确答案,选项,分组题干,组内条数,组内答案种数,已标记问题题
1,31/238,q_Xtoe_W-0CMBP,这个标志是何含义？,距无人看守铁路道口50米,距无人看守铁路道口50米 | 距有人看守铁路道口50米 | 距无人看守铁路道口100米 | 距有人看守铁路道口100米,这个标志是何含义,238,217,
1,32/238,q_vuqMU9x8J5SU,这个标志是何含义？,无人看守铁路道口,多股铁路与道路相交 | 有人看守铁路道口 | 无人看守铁路道口 | 注意长时鸣喇叭,这个标志是何含义,238,217,
1,33/238,q_mpniewjkr8Da,这个标志是何含义？,有人看守铁路道口,无人看守铁路道口 | 有人看守铁路道口 | 多股铁路与道路相交 | 立交式的铁路道口,这个标志是何含义,238,217,
1,34/238,q_S_h-c9VlQGI9,这个标志是何含义？,过水路面,过水路面 | 渡口 | 泥泞道路 | 低洼路面,这个标志是何含义,238,217,
1,35/238,q_oR3NMAm5tLbZ,这个标志是何含义？,路面低洼,路面高突 | 有驼峰桥 | 路面不平 | 路面低洼,这个标志是何含义,238,217,
1,36/238,q_63VFr-Blbh47,这个标志是何含义？,减速丘,路面低洼 | 驼峰桥 | 路面不平 | 减速丘,这个标志是何含义,238,217,
1,37/238,q_5OfqBXuwtAFB,这个标志是何含义？,连续下坡,连续上坡 | 上陡坡 | 下陡坡 | 连续下坡,这个标志是何含义,238,217,
1,38/238,q_b2HbAohNHXCK,这个标志是何含义？,上陡坡,堤坝路 | 上陡坡 | 连续上坡 | 下陡坡,这个标志是何含义,238,217,
1,39/238,q_SCynVvxE3L-T,这个标志是何含义？,向左急转弯,向左急转弯 | 向右急转弯 | 向左绕行 | 连续弯路,这个标志是何含义,238,217,
1,40/238,q_qadKzUf9HFX1,这个标志是何含义？,向右急转弯,向左急转弯 | 向右急转弯 | 向右绕行 | 连续弯路,这个标志是何含义,238,217,
1,41/238,q_RZTnrMdnDxWF,这个标志是何含义？,禁止挂车、半挂车驶入,禁止机动车驶入 | 禁止停车 | 禁止三轮车驶入 | 禁止挂车、半挂车驶入,这个标志是何含义,238,217,
1,42/238,q_i_vasPw0Dwqa,这个标志是何含义？,禁止电动自行车进入,禁止电动自行车停车 | 禁止非机动车停车 | 禁止电动自行车进入 | 禁止非机动车进入,这个标志是何含义,238,217,
1,43/238,q_xJGBELxSoay2,这个标志是何含义？,注意前方车辆排队,注意前方车辆排队 | 注意安全 | 机动车行驶 | 注意小型客车,这个标志是何含义,238,217,
1,44/238,q_qvijpogDWNPu,这个标志是何含义？,海关,海关 | 国界 | 边防 | 边界,这个标志是何含义,238,217,
1,45/238,q_L_LtN8fw3oio,这个标志是何含义？,禁止车辆停放,允许长时停车 | 允许临时停车 | 禁止长时停车 | 禁止车辆停放,这个标志是何含义,238,217,
1,46/238,q_UKtUJs1YiSR1,这个标志是何含义？,禁止车辆长时停放,允许长时停车 | 禁止临时停车 | 禁止车辆长时停放 | 禁止停放车辆,这个标志是何含义,238,217,
1,47/238,q_Jh0ujCSTT94b,这个标志是何含义？,停车让行,不准车辆驶入 | 不准长时间停车 | 停车让行 | 不准临时停车,这个标志是何含义,238,217,
1,48/238,q__0KWXM5uK8mx,这个标志是何含义？,减速让行,不准让行 | 会车让行 | 停车让行 | 减速让行,这个标志是何含义,238,217,
1,49/238,q_LXPftBLV3PdQ,这个标志是何含义？,多股铁路与道路相交,注意避让火车 | 有人看守铁路道口 | 无人看守铁路道口 | 多股铁路与道路相交,这个标志是何含义,238,217,
1,50/238,q_0HAnuouVRWm-,这个标志是何含义？,开车灯,隧道开示宽灯 | 开车灯 | 隧道减速 | 隧道开远光灯,这个标志是何含义,238,217,
1,51/238,q_gZHTLeGbAx3t,这个标志是何含义？,有轨电车专用车道,公交车专用车道 | BRT车辆专用车道 | 有轨电车专用车道 | 大型客车专用车道,这个标志是何含义,238,217,
1,52/238,q_plonKfWoMhXZ,这个标志是何含义？,电动自行车车道,非机动车车道 | 电动自行车车道 | 非机动车行驶 | 电动自行车行驶,这个标志是何含义,238,217,
1,53/238,q_0DdT9U7hHSt2,这个标志是何含义？,非机动车推行,非机动车推行 | 非机动车骑行 | 非机动车与行人共享空间通行 | 非机动车与行人分开空间通行,这个标志是何含义,238,217,
1,54/238,q_7i7R6k1Z8k6Y,这个标志是何含义？,硬路肩允许行驶起点,只准直行 | 车道数增加 | 硬路肩允许行驶起点 | 分流处,这个标志是何含义,238,217,
1,55/238,q_8jc0Ygji4LuW,这个标志是何含义？,允许货车通行,允许货车通行 | 允许客车通行 | 禁止货车通行 | 绿色通道,这个标志是何含义,238,217,
1,56/238,q_MMiV16NDqo9d,这个标志是何含义？,校车专用停车位、校车停靠站点,禁止校车通行 | 禁止校车停车 | 校车专用停车位、校车停靠站点 | 只允许校车通行,这个标志是何含义,238,217,
1,57/238,q_rClxZnVRPn2M,这个标志是何含义？,公交车专用停车位,出租车专用停车位 | 公交车专用停车位 | 校车专用停车位 | 充电停车位,这个标志是何含义,238,217,
1,58/238,q_J75ivsexnReh,这个标志是何含义？,港湾式紧急停车带,避让处所 | 客车站 | 停车区 | 港湾式紧急停车带,这个标志是何含义,238,217,
1,59/238,q_ZXPKSXIyDNmM,这个标志是何含义？,残疾人专用车位,无障碍设施 | 注意残疾人 | 停车场 | 残疾人专用车位,这个标志是何含义,238,217,
1,60/238,q_aAmAk6p94r7c,这个标志是何含义？,交通事故管理,注意危险 | 事故易发路段 | 施工路段 | 交通事故管理,这个标志是何含义,238,217,
1,61/238,q_o6QRyMh5-9Sa,这个标志是何含义？,注意积水,量路尺 | 注意积水 | 交通事故勘察尺 | 注意前方限高,这个标志是何含义,238,217,
1,62/238,q_qgyD_pg_SSnY,这个标志是何含义？,注意车道数变少,应急车道 | 注意车道数变少 | 合流处 | 向左变道,这个标志是何含义,238,217,
1,63/238,q_lbYm0oG_x0eY,这个标志是何含义？,线形诱导标志,转弯诱导标志 | 线形诱导标志 | 分流诱导标志 | 合流诱导标志,这个标志是何含义,238,217,
1,64/238,q_FI2vsnnBkjsm,这个标志是何含义？,注意电动自行车,电动自行车车道 | 注意非机动车 | 注意电动自行车 | 禁止非机动车通行,这个标志是何含义,238,217,
1,65/238,q_o28F-0piPwP8,这个标志是何含义？,交叉路口,急弯路 | 交叉路口 | 反向弯路 | 连续弯路,这个标志是何含义,238,217,
1,66/238,q_1cSKUXmEfNf9,这个标志是何含义？,交叉路口预告,交叉路口预告 | 车道方向预告 | 分道信息预告 | 分岔处预告,这个标志是何含义,238,217,
1,67/238,q_liZ1ytn-ps0X,这个标志是何含义？,十字交叉路口预告,地点和距离预告 | 十字交叉路口预告 | 分道信息预告 | 道路分岔处预告,这个标志是何含义,238,217,
1,68/238,q_MzBeVioqYdcQ,这个标志是何含义？,丁字交叉路口预告,Y形交叉路口预告 | 十字交叉路口预告 | 丁字交叉路口预告 | 道路分叉处预告,这个标志是何含义,238,217,
1,69/238,q_HaB5jOxgpj6K,这个标志是何含义？,Y型交叉路口告知,环型交叉路口告知 | 十字交叉路口告知 | 丁字交叉路口告知 | Y型交叉路口告知,这个标志是何含义,238,217,
1,70/238,q_vWGlLwOkq4A2,这个标志是何含义？,环形交叉路口预告,环形交叉路口预告 | 十字交叉路口预告 | 互通立体交叉预告 | Y形交叉路口预告,这个标志是何含义,238,217,
1,71/238,q_ItZzya9eCUH3,这个标志是何含义？,互通式立体交叉告知,十字交叉路口告知 | 互通式立体交叉告知 | Y形交叉路口告知 | 环形交叉路口告知,这个标志是何含义,238,217,
1,72/238,q_60bQBOdtPFfg,这个标志是何含义？,国道编号,国道编号 | 省道编号 | 县道编号 | 乡道编号,这个标志是何含义,238,217,
1,73/238,q_QIuxmo072a9U,这个标志是何含义？,地点距离,地点距离 | 行驶路线 | 行驶方向 | 终点地名,这个标志是何含义,238,217,
1,74/238,q_WTf0_af6stpG,这个标志是何含义？,露天停车场,室内停车场 | 露天停车场 | 专用停车场 | 内部停车场,这个标志是何含义,238,217,
1,75/238,q_YBB6R2ZmLGZI,这个标志是何含义？,立体交叉直行和左转弯行驶,立体交叉直行和右转弯行驶 | 立体交叉直行和左转弯行驶 | 直行和左转弯行驶 | 直行和右转弯行驶,这个标志是何含义,238,217,
1,76/238,q_xkd_6510vpbd,这个标志是何含义？,环岛行驶,右侧通行 | 左侧通行 | 向右行驶 | 环岛行驶,这个标志是何含义,238,217,
1,77/238,q_B_GsqKqf6jsq,这个标志是何含义？,向左单行路,向左单行路 | 向右单行路 | 直行单行路 | 左转让行,这个标志是何含义,238,217,
1,78/238,q_niBDb0f-5drE,这个标志是何含义？,向右单行路,向左单行路 | 向右单行路 | 直行单行路 | 右转让行,这个标志是何含义,238,217,
1,79/238,q_dstwEUD65sAM,这个标志是何含义？,直行单行路,靠右侧行驶 | 不允许直行 | 直行单行路 | 直行车让行,这个标志是何含义,238,217,
1,80/238,q_gemivW9PQaLJ,这个标志是何含义？,步行,低速行驶 | 注意行人 | 行人先行 | 步行,这个标志是何含义,238,217,
1,81/238,q_N3yEJl1nHxWl,这个标志是何含义？,应当鸣喇叭,应当鸣喇叭 | 禁止鸣喇叭 | 禁止鸣高音喇叭 | 禁止鸣低音喇叭,这个标志是何含义,238,217,
1,82/238,q_G_OPVbypfGSP,这个标志是何含义？,人行横道,人行横道 | 学生通道 | 儿童通道 | 注意行人,这个标志是何含义,238,217,
1,83/238,q_u4EYDQa6qS3-,这个标志是何含义？,最低限速50公里/小时,最高限速50公里/小时 | 最低限速50公里/小时 | 水平高度50米 | 海拔高度50米,这个标志是何含义,238,217,
1,84/238,q_9UkCfZCL111Y,这个标志是何含义？,干路先行,单行路 | 停车让行 | 干路先行 | 两侧街道,这个标志是何含义,238,217,
1,85/238,q_T4voOqwZKO3e,这个标志是何含义？,会车先行,对向先行 | 停车让行 | 单行路 | 会车先行,这个标志是何含义,238,217,
1,86/238,q_PBDbZkEN6NC5,这个标志是何含义？,错车道,紧急停车带 | 露天停车场 | 停车位 | 错车道,这个标志是何含义,238,217,
1,87/238,q_59jSu3l4Dxqs,这个标志是何含义？,应急避难设施（场所,横过道路设施 | 应急避难设施（场所 | 生活服务区 | 行人专用通道,这个标志是何含义,238,217,
1,88/238,q_OV0nVyBpSWrv,这个标志是何含义？,此路不通,此路不通 | T形路口 | 分流路口 | 减速通行,这个标志是何含义,238,217,
1,89/238,q_vVQJuLqrAa73,这个标志是何含义？,车道数变少,向左变道 | 车道数变少 | 合流处 | 应急车道,这个标志是何含义,238,217,
1,90/238,q_m0QhqGup50W0,这个标志是何含义？,车道数增加,向右变道 | 分流处 | 车道数增加 | 路面变宽,这个标志是何含义,238,217,
1,91/238,q_caxN0kjUeM2G,这个标志是何含义？,交通监控设备,减速拍照区 | 道路流量监测 | 全路段抓拍 | 交通监控设备,这个标志是何含义,238,217,
1,92/238,q_nMMNeN4vtJuK,这个标志是何含义？,隧道出口距离,隧道出口距离 | 隧道入口距离 | 隧道跟车距离 | 隧道总长度,这个标志是何含义,238,217,
1,93/238,q_ZvHXf4g6kABK,这个标志是何含义？,两侧通行,左侧通行 | 不准通行 | 两侧通行 | 右侧通行,这个标志是何含义,238,217,
1,94/238,q_JrcZfqZW2wow,这个标志是何含义？,高速公路入口预告,高速公路终点预告 | 高速公路入口预告 | 高速公路起点预告 | 高速公路出口预告,这个标志是何含义,238,217,
1,95/238,q_rQBwDb00Z0RP,这个标志是何含义？,高速公路地点、方向预告,高速公路右侧出口预告 | 高速公路下一出口预告 | 高速公路地点、方向预告 | 高速公路左侧出口预告,这个标志是何含义,238,217,
1,96/238,q_8kN5_vfhWpwp,这个标志是何含义？,高速公路地点距离预告,高速公路终点地名预告 | 高速公路行驶路线预告 | 高速公路行驶方向预告 | 高速公路地点距离预告,这个标志是何含义,238,217,
1,97/238,q_ksju-Sgpbi2w,这个标志是何含义？,高速公路命名编号,高速公路界牌编号 | 高速公路里程编号 | 高速公路命名编号 | 高速公路路段编号,这个标志是何含义,238,217,
1,98/238,q_kne10Q-UYbMG,这个标志是何含义？,高速公路起点,高速公路起点 | 高速公路出口 | 高速公路入口 | 高速公路终点,这个标志是何含义,238,217,
1,99/238,q_ZsRtzoC_RNK8,这个标志是何含义？,高速公路交通广播频率,高速公路报警电话号码 | 高速公路交通广播频率 | 高速公路救援电话号码 | 高速公路服务电话号码,这个标志是何含义,238,217,
1,100/238,q_JkL_cGjSgwD0,这个标志是何含义？,设有ETC的收费站,高速公路领卡处 | 高速公路收费处 | 高速公路检查站 | 设有ETC的收费站,这个标志是何含义,238,217,
1,101/238,q_x42DfPHN2kZm,这个标志是何含义？,高速公路紧急电话,高速公路公用电话 | 高速公路报警电话 | 高速公路紧急电话 | 高速公路救援电话,这个标志是何含义,238,217,
1,102/238,q_r-LgW8r646Ah,这个标志是何含义？,高速公路紧急停车带,高速公路紧急停车带 | 高速公路避让处所 | 高速公路停车区 | 高速公路客车站,这个标志是何含义,238,217,
1,103/238,q_4KwCrh9Yur4I,这个标志是何含义？,加油站,服务区 | 加油站 | 休息区 | 客车站,这个标志是何含义,238,217,
1,104/238,q_CiXuuXohqZSV,这个标志是何含义？,电动汽车充电站,高速公路加油站 | 电动汽车服务区 | 电动汽车充电站 | 高速公路休息区,这个标志是何含义,238,217,
1,105/238,q_oEt5w1dVc_Uv,这个标志是何含义？,电子不停车收费车道,高速公路收费处 | ETC收费站入口 | 电子不停车收费车道 | 高速公路领卡处,这个标志是何含义,238,217,
1,106/238,q_2f8g8-3pkg_J,这个标志是何含义？,地铁,电动车充电站 | 加油站 | 地铁 | 急救站,这个标志是何含义,238,217,
1,107/238,q_ih3iA7ua48O_,这个标志是何含义？,停车点,服务站 | 停车点 | 停车场 | 应急避难场所,这个标志是何含义,238,217,
1,108/238,q_6MEppWqkj3mH,这个标志是何含义？,高速公路ETC车道指引,高速公路ETC车道指引 | 高速公路领卡车道指引 | 高速公路缴费车道指引 | 高速公路检查车道指引,这个标志是何含义,238,217,
1,109/238,q_C2OG6cF8R-Qp,这个标志是何含义？,只准直行,直行车道 | 只准直行 | 单行路 | 禁止直行,这个标志是何含义,238,217,
1,110/238,q_YSo2J3c4l6Zg,这个标志是何含义？,向左转弯,直行车道 | 单行路 | 向左转弯 | 禁止直行,这个标志是何含义,238,217,
1,111/238,q_0tHFajySqmBR,这个标志是何含义？,向右转弯,直行车道 | 只准直行 | 单行路 | 向右转弯,这个标志是何含义,238,217,
1,112/238,q_f6dlij5wZe5n,这个标志是何含义？,直行和向右转弯,直行和向右转弯 | 直行和向左转弯 | 禁止直行和向右转弯 | 只准向左和向右转弯,这个标志是何含义,238,217,
1,113/238,q_ITvUalshOLZZ,这个标志是何含义？,直行和向左转弯,直行和向右转弯 | 直行和向左转弯 | 禁止直行和向左转弯 | 只准向右和向左转弯,这个标志是何含义,238,217,
1,114/238,q_Tet7vt9LnDEE,这个标志是何含义？,向左和向右转弯,禁止向右转弯 | 禁止向左转弯 | 向左和向右转弯 | 禁止向左右转弯,这个标志是何含义,238,217,
1,115/238,q_rEZQlJjEyYfh,这个标志是何含义？,分隔带右侧行驶,靠道路右侧停车 | 只准向右转弯 | 右侧是下坡路段 | 分隔带右侧行驶,这个标志是何含义,238,217,
1,116/238,q_XlTZavzHWGs9,这个标志是何含义？,分隔带左侧行驶,分隔带左侧行驶 | 只准向左转弯 | 左侧是下坡路段 | 靠道路左侧停车,这个标志是何含义,238,217,
1,117/238,q_Zp_0oAAd9P2V,这个标志是何含义？,右转车道,分向车道 | 右转车道 | 掉头车道 | 左转车道,这个标志是何含义,238,217,
1,118/238,q_GV71KIg2-AFC,这个标志是何含义？,直行车道,直行车道 | 右转车道 | 掉头车道 | 左转车道,这个标志是何含义,238,217,
1,119/238,q_L9Qiex7SxBYZ,这个标志是何含义？,直行和右转合用车道,直行和左转车道 | 直行和辅路出口车道 | 直行和右转合用车道 | 分向行驶车道,这个标志是何含义,238,217,
1,120/238,q_lyyvOmrgdj5j,这个标志是何含义？,直行和左转合用车道,直行和左转合用车道 | 直行和掉头合用车道 | 直行和右转车道 | 分向行驶车道,这个标志是何含义,238,217,
1,121/238,q_OdNg4x-DyNLQ,这个标志是何含义？,掉头车道,左转车道 | 掉头车道 | 绕行车道 | 分向车道,这个标志是何含义,238,217,
1,122/238,q_-w6FKvNysx5V,这个标志是何含义？,掉头和左转合用车道,直行和左转合用车道 | 禁止左转和掉头车道 | 掉头和左转合用车道 | 分向行驶车道,这个标志是何含义,238,217,
1,123/238,q_JUY0b3jBdqZk,这个标志是何含义？,分向行驶车道,直线行驶车道 | 左转行驶车道 | 右转行驶车道 | 分向行驶车道,这个标志是何含义,238,217,
1,124/238,q_i9Qq3u0tzfRw,这个标志是何含义？,公交专用车道,公交专用车道 | 大型客车专用车道 | 快速公交系统专用车道 | 多乘员车辆专用车道,这个标志是何含义,238,217,
1,125/238,q_t100R5qF5ZmY,这个标志是何含义？,机动车行驶,禁止小型车行驶 | 机动车行驶 | 只准小型车行驶 | 不准小型车通行,这个标志是何含义,238,217,
1,126/238,q_L7Qa42TnVY0M,这个标志是何含义？,机动车车道,小型车车道 | 小型车专用车道 | 机动车车道 | 多乘员车辆专用车道,这个标志是何含义,238,217,
1,127/238,q__OeF47yZoWg0,这个标志是何含义？,非机动车行驶,非机动车停车位 | 电动自行车行驶 | 非机动车停放区 | 非机动车行驶,这个标志是何含义,238,217,
1,128/238,q_RdJuXklEenVM,这个标志是何含义？,非机动车车道,非机动车车道 | 禁止自行车通行车道 | 自行车专用车道 | 停放自行车路段,这个标志是何含义,238,217,
1,129/238,q_QampiypqDLo1,这个标志是何含义？,快速公交系统（BRT）车辆专用车道,公交车专用车道 | 快速公交系统（BRT）车辆专用车道 | 大型客车专用车道 | 多乘员车专用车道,这个标志是何含义,238,217,
1,130/238,q_7BTx0rvuoD-G,这个标志是何含义？,多乘员车辆专用车道,小型汽车专用车道 | 机动车专用车道 | 多乘员车辆专用车道 | 出租汽车专用车道,这个标志是何含义,238,217,
1,131/238,q_pxCOiCOUITvR,这个标志是何含义？,掉头,掉头 | 倒车 | 左转 | 绕行,这个标志是何含义,238,217,
1,132/238,q_w6kC2TKjQU5D,这个标志是何含义？,靠右侧车道行驶,公交专用车道 | 有轨电车专用车道 | 靠右侧车道行驶 | HOV专用车道,这个标志是何含义,238,217,
1,133/238,q_fPMQb8HTUGo_,这个标志是何含义？,仅供行人步行,注意行人 | 仅供行人步行 | 低速行驶 | 行人先行,这个标志是何含义,238,217,
1,134/238,q_nNlet4xmOQEb,这个标志是何含义？,会车时停车让对方车先行,会车时停车让对方车先行 | 前方是双向通行路段 | 右侧道路禁止车通行 | 会车时停车让右侧车先行,这个标志是何含义,238,217,
1,135/238,q_lx_s8N1g3B8k,这个标志是何含义？,禁止通行,禁止驶入 | 禁止通行 | 减速行驶 | 限时进入,这个标志是何含义,238,217,
1,136/238,q_HCfjYowE8avn,这个标志是何含义？,禁止向左转弯,禁止向左转弯 | 禁止驶入左车道 | 禁止车辆掉头 | 禁止向左变道,这个标志是何含义,238,217,
1,137/238,q_BkPhJN1kQbHM,这个标志是何含义？,禁止向右转弯,禁止驶入路口 | 禁止向右转弯 | 禁止车辆掉头 | 禁止变更车道,这个标志是何含义,238,217,
1,138/238,q_uT0vTwP5uIWt,这个标志是何含义？,禁止直行,禁止掉头 | 禁止向右转弯 | 禁止直行 | 禁止向左转弯,这个标志是何含义,238,217,
1,139/238,q_VUuinr3Gh9du,这个标志是何含义？,禁止向左向右转弯,禁止在路口掉头 | 禁止向左向右变道 | 禁止车辆直行 | 禁止向左向右转弯,这个标志是何含义,238,217,
1,140/238,q_vCM2if3HmBCP,这个标志是何含义？,禁止直行和向左转弯,禁止直行和向左转弯 | 禁止直行和向左变道 | 允许直行和向左变道 | 禁止直行和向右转弯,这个标志是何含义,238,217,
1,141/238,q_T1Sr0--96t9h,这个标志是何含义？,禁止直行和向右转弯,禁止直行和向左变道 | 允许直行和向右变道 | 允许直行和向左变道 | 禁止直行和向右转弯,这个标志是何含义,238,217,
1,142/238,q_32mpewggwN6O,这个标志是何含义？,禁止掉头,禁止直行 | 禁止掉头 | 禁止变道 | 禁止左转,这个标志是何含义,238,217,
1,143/238,q_px-y89wbpw84,这个标志是何含义？,禁止超车,禁止借道 | 禁止变道 | 禁止超车 | 禁止掉头,这个标志是何含义,238,217,
1,144/238,q_C0WunlRm_pyL,这个标志是何含义？,解除禁止超车,解除禁止借道 | 解除禁止变道 | 准许变道行驶 | 解除禁止超车,这个标志是何含义,238,217,
1,145/238,q_g5IQT2xsn-K5,这个标志是何含义？,禁止鸣喇叭,禁止长时鸣喇叭 | 断续鸣喇叭 | 禁止鸣喇叭 | 减速鸣喇叭,这个标志是何含义,238,217,
1,146/238,q_qs8a-7jx8Zif,这个标志是何含义？,限制宽度为3米,解除3米限宽 | 限制高度为3米 | 预告宽度为3米 | 限制宽度为3米,这个标志是何含义,238,217,
1,147/238,q_Qdp9eGFmTPA0,这个标志是何含义？,限制高度为3.5米,限制高度为3.5米 | 限制宽度为3.5米 | 解除3.5米限高 | 限制车距为3.5米,这个标志是何含义,238,217,
1,148/238,q_IafS8ur_OaBD,这个标志是何含义？,限制最高时速40公里,限制40吨轴重 | 限制最高时速40公里 | 前方40米减速 | 最低时速40公里,这个标志是何含义,238,217,
1,149/238,q_t9X1nO00sBG2,这个标志是何含义？,解除时速40公里限制,40米减速行驶路段 | 最低时速40公里 | 解除时速40公里限制 | 最高时速40公里,这个标志是何含义,238,217,
1,150/238,q_bjjnGZBp098K,这个标志是何含义？,停车检查,边防检查 | 禁止通行 | 海关检查 | 停车检查,这个标志是何含义,238,217,
1,151/238,q_6s9sub7bmK1v,这个标志是何含义？,残疾人专用停车位,残疾人出入口 | 注意残疾人 | 残疾人专用通道 | 残疾人专用停车位,这个标志是何含义,238,217,
1,152/238,q_bniAeDtHp6B1,这个标志是何含义？,提醒车辆驾驶人前方有向下的陡坡路段,提醒车辆驾驶人前方道路沿水库、湖泊、河流 | 提醒车辆驾驶人前方有向下的陡坡路段 | 提醒车辆驾驶人前方有向上的陡坡路段 | 提醒车辆驾驶人前方有两个及以上的连续上坡路段,这个标志是何含义,238,217,
1,153/238,q_Jpe-FSmbte5E,这个标志是何含义？,距无人看守铁路道口100米,距无人看守铁路道口50米 | 距有人看守铁路道口50米 | 距无人看守铁路道口100米 | 距有人看守铁路道口100米,这个标志是何含义,238,217,
1,154/238,q_TXy0qiCy3-sW,这个标志是何含义？,车多路段,慢 | 施工路段 | 车多路段 | 慢行,这个标志是何含义,238,217,
1,155/238,q_zva6b9FGLctQ,这个标志是何含义？,30km/h,30km/h | 建议速度 | 最低速度 | 最高速度,这个标志是何含义,238,217,
1,156/238,q_bbgfP_a2_RJE,这个标志是何含义？,注意合流,AY形交叉口 | 主路让行 | 注意分流 | 注意合流,这个标志是何含义,238,217,
